genre,rank,ngram,count
romance,74,ere long,22
romance,75,let go,22
romance,76,miss de,21
romance,77,mrs hurst,21
romance,78,depend upon,21
romance,79,good deal,21
romance,80,shall never,21
romance,81,would come,21
romance,82,would rather,21
romance,83,one would,21
romance,84,might well,21
romance,85,ever since,21
romance,86,hardly know,20
romance,87,put end,20
romance,88,cried mrs,20
romance,89,little girl,20
romance,90,could think,19
romance,91,young woman,19
romance,92,mr mr,19
romance,93,mr said,19
romance,94,let alone,19
romance,95,sister law,19
romance,96,good opinion,18
sci-fi,1,solar guard,132
sci-fi,2,sir said,91
sci-fi,3,said strong,73
sci-fi,4,captain strong,64
sci-fi,5,time traveller,64
sci-fi,6,yes sir,60
sci-fi,7,cargo master,55
sci-fi,8,air lock,47
sci-fi,9,let us,46
sci-fi,10,said captain,45
sci-fi,11,control deck,43
sci-fi,12,two men,40
sci-fi,13,jet boat,39
sci-fi,14,first time,39
sci-fi,15,time machine,39
sci-fi,16,power deck,34
sci-fi,17,space academy,31
sci-fi,18,radar bridge,31
sci-fi,19,asteroid belt,31
sci-fi,20,solar queen,28
sci-fi,21,one thing,27
sci-fi,22,shook head,27
sci-fi,23,well said,25
sci-fi,24,captain jellico,25
sci-fi,25,black smoke,25
sci-fi,26,medical man,24
sci-fi,27,solar alliance,23
sci-fi,28,far away,23
sci-fi,29,one another,23
sci-fi,30,turned back,22
sci-fi,31,one one,22
sci-fi,32,well sir,22
sci-fi,33,came upon,22
sci-fi,34,day th,21
sci-fi,35,one side,20
sci-fi,36,big burn,20
sci-fi,37,surface ocean,20
sci-fi,38,board nautilus,20
sci-fi,39,could hear,19
sci-fi,40,one two,19
sci-fi,41,one would,19
sci-fi,42,surface sea,19
sci-fi,43,drawing room,19
sci-fi,44,would make,18
sci-fi,45,another moment,18
sci-fi,46,electric light,18
sci-fi,47,th february,18
sci-fi,48,rocket cruiser,17
sci-fi,49,control panel,17
sci-fi,50,end transmission,17
sci-fi,51,could tell,17
sci-fi,52,along road,17
sci-fi,53,little people,17
sci-fi,54,bottom sea,17
sci-fi,55,th march,17
sci-fi,56,captain said,17
sci-fi,57,light key,16
sci-fi,58,right said,16
sci-fi,59,free trader,16
sci-fi,60,one hand,16
sci-fi,61,upon us,16
sci-fi,62,half past,16
sci-fi,63,several times,16
sci-fi,64,south pole,16
sci-fi,65,hundred fifty,16
sci-fi,66,master land,16
sci-fi,67,th january,16
sci-fi,68,guard officer,15
sci-fi,69,turned away,15
sci-fi,70,rocket scout,15
sci-fi,71,prison asteroid,15
sci-fi,72,could get,15
sci-fi,73,handling machine,15
sci-fi,74,twenty five,15
sci-fi,75,young cadet,14
sci-fi,76,polaris unit,14
sci-fi,77,strong turned,14
sci-fi,78,haired cadet,14
sci-fi,79,pirate captain,14
sci-fi,80,control board,14
sci-fi,81,three days,14
sci-fi,82,two hundred,14
sci-fi,83,plague ship,14
sci-fi,84,inter solar,14
sci-fi,85,came back,14
sci-fi,86,four five,14
sci-fi,87,went back,14
sci-fi,88,twenty four,14
sci-fi,89,two days,14
sci-fi,90,said time,14
sci-fi,91,clock morning,14
sci-fi,92,new york,14
sci-fi,93,surface water,14
sci-fi,94,ship crew,14
sci-fi,95,said canadian,14
sci-fi,96,space cadet,13
