partition_id,book,genre,avg_word_len,avg_sent_len,sent_len_std,type_token_ratio,punct_density,comma_ratio,semicolon_ratio,quote_density,avg_syllables,hapax_ratio
WutheringHeights_partition_ap,WutheringHeights,romance,3.9021479713603817,8.38,9.024167551635996,0.5035799522673031,0.2315035799522673,0.081145584725537,0.014319809069212411,0.0,1.4128878281622912,0.6872037914691943
WutheringHeights_partition_aq,WutheringHeights,romance,4.023696682464455,9.377777777777778,6.841990902228154,0.5521327014218009,0.23222748815165878,0.1018957345971564,0.009478672985781991,0.0,1.4265402843601895,0.7381974248927039
WutheringHeights_partition_ar,WutheringHeights,romance,3.995145631067961,13.733333333333333,9.976416635690837,0.529126213592233,0.16990291262135923,0.08009708737864078,0.014563106796116505,0.0,1.4490291262135921,0.7247706422018348
WutheringHeights_partition_as,WutheringHeights,romance,4.076167076167076,13.566666666666666,10.572553565193646,0.5749385749385749,0.16953316953316952,0.06633906633906633,0.012285012285012284,0.0,1.4471744471744472,0.7905982905982906
WutheringHeights_partition_at,WutheringHeights,romance,4.166666666666667,21.473684210526315,18.829899016004003,0.5857843137254902,0.15196078431372548,0.07107843137254902,0.022058823529411766,0.0,1.517156862745098,0.7782426778242678
WutheringHeights_partition_au,WutheringHeights,romance,4.179611650485437,15.25925925925926,12.877176457802276,0.5776699029126213,0.17233009708737865,0.0825242718446602,0.012135922330097087,0.0,1.4441747572815533,0.7899159663865546
WutheringHeights_partition_av,WutheringHeights,romance,4.042959427207637,14.448275862068966,13.381887416222414,0.5799522673031027,0.1957040572792363,0.09785202863961814,0.011933174224343675,0.0,1.431980906921241,0.7736625514403292
WutheringHeights_partition_aw,WutheringHeights,romance,4.234718826405868,17.041666666666668,11.245292224847793,0.5721271393643031,0.15647921760391198,0.08312958435207823,0.014669926650366748,0.0,1.569682151589242,0.811965811965812
WutheringHeights_partition_ax,WutheringHeights,romance,3.9468599033816427,13.8,10.827126427019621,0.5483091787439613,0.178743961352657,0.07971014492753623,0.012077294685990338,0.0,1.434782608695652,0.73568281938326
WutheringHeights_partition_ay,WutheringHeights,romance,4.019002375296912,14.517241379310345,9.39045990447742,0.5700712589073634,0.1876484560570071,0.09738717339667459,0.011876484560570071,0.0,1.4465558194774346,0.7541666666666667
WutheringHeights_partition_az,WutheringHeights,romance,3.8175182481751824,20.55,10.988516733390362,0.5450121654501217,0.17274939172749393,0.0851581508515815,0.0267639902676399,0.0,1.362530413625304,0.71875
WutheringHeights_partition_ba,WutheringHeights,romance,4.075609756097561,10.0,9.606908083604697,0.5121951219512195,0.21707317073170732,0.09024390243902439,0.024390243902439025,0.0,1.421951219512195,0.7142857142857143
