genre,rank,ngram,count
romance,67,said lady middleton,4
romance,68,dear miss dashwood,4
romance,69,two three months,4
romance,70,mr bingley like,3
romance,71,rode black horse,3
romance,72,two youngest girls,3
romance,73,protested never read,3
romance,74,never read novels,3
romance,75,superior dancing often,3
romance,76,dancing often seen,3
romance,77,assure animated language,3
romance,78,protested must entirely,3
romance,79,must entirely mistaken,3
romance,80,whenever spoke low,3
romance,81,spoke low voice,3
romance,82,offended two three,3
romance,83,two three young,3
romance,84,said given treasure,3
romance,85,forgotten leave message,3
romance,86,determined never speak,3
romance,87,colonel miller regiment,3
romance,88,miller regiment went,3
romance,89,regiment went away,3
romance,90,first pleasing earnest,3
romance,91,pleasing earnest welcome,3
romance,92,perhaps would like,3
romance,93,would like read,3
romance,94,spiteful old ladies,3
romance,95,happened look round,3
romance,96,dear want speak,3
romance,97,unable utter syllable,3
romance,98,mr bingley always,3
romance,99,would never come,3
romance,100,danced four dances,3
sci-fi,1,said captain nemo,25
sci-fi,2,solar guard officer,15
sci-fi,3,yes sir said,15
sci-fi,4,next day th,14
sci-fi,5,replied captain nemo,13
sci-fi,6,scar faced man,12
sci-fi,7,aye aye sir,12
sci-fi,8,solar guard captain,12
sci-fi,9,twenty four hours,12
sci-fi,10,said time traveller,12
sci-fi,11,sir said strong,11
sci-fi,12,adjustable light key,11
sci-fi,13,said medical man,11
sci-fi,14,yes sir replied,10
sci-fi,15,palace green porcelain,10
sci-fi,16,jet boat deck,9
sci-fi,17,captain nemo went,9
sci-fi,18,sir said captain,9
sci-fi,19,end transmission end,8
sci-fi,20,transmission end transmission,8
sci-fi,21,curly haired cadet,8
sci-fi,22,titan pay roll,8
sci-fi,23,well sir said,8
sci-fi,24,captain nemo took,8
sci-fi,25,captain nemo stopped,8
sci-fi,26,five minutes later,7
sci-fi,27,forty eight hours,7
sci-fi,28,hundred fifty feet,7
sci-fi,29,captain nemo said,7
sci-fi,30,captain nemo appear,7
sci-fi,31,day th january,7
sci-fi,32,day th february,7
sci-fi,33,report commander walters,6
sci-fi,34,commander walters space,6
sci-fi,35,walters space academy,6
sci-fi,36,astro said strong,6
sci-fi,37,said strong grimly,6
sci-fi,38,blond haired cadet,6
sci-fi,39,sir said williams,6
sci-fi,40,moment captain nemo,6
sci-fi,41,let us go,6
sci-fi,42,aronnax replied captain,6
sci-fi,43,fifteen minutes later,5
sci-fi,44,sir said astro,5
sci-fi,45,without another word,5
sci-fi,46,two three four,5
sci-fi,47,rip shook head,5
sci-fi,48,half past eight,5
sci-fi,49,nautilus captain nemo,5
sci-fi,50,aronnax said captain,5
sci-fi,51,saloon captain nemo,5
sci-fi,52,captain nemo appeared,5
sci-fi,53,sir said conseil,5
sci-fi,54,ask captain nemo,5
sci-fi,55,thought captain nemo,5
sci-fi,56,corbett space cadet,4
sci-fi,57,three cadets polaris,4
sci-fi,58,three cadets looked,4
sci-fi,59,well said strong,4
sci-fi,60,stand raise ship,4
sci-fi,61,rocket cruiser polaris,4
sci-fi,62,young solar guard,4
sci-fi,63,said strong going,4
sci-fi,64,aye sir replied,4
sci-fi,65,two years ago,4
sci-fi,66,sir replied astro,4
sci-fi,67,solar guard fleet,4
sci-fi,68,cargo master apprentice,4
sci-fi,69,rycke cargo master,4
sci-fi,70,crew solar queen,4
sci-fi,71,cannot move time,4
sci-fi,72,eight hundred two,4
sci-fi,73,hundred two thousand,4
sci-fi,74,sir replied conseil,4
sci-fi,75,well said conseil,4
sci-fi,76,two thousand dollars,4
sci-fi,77,two hundred fifty,4
sci-fi,78,captain nemo companions,4
sci-fi,79,followed captain nemo,4
sci-fi,80,captain nemo pointed,4
sci-fi,81,large drawing room,4
sci-fi,82,let us try,4
sci-fi,83,forests island crespo,4
sci-fi,84,next morning th,4
sci-fi,85,one would thought,4
sci-fi,86,captain nemo still,4
sci-fi,87,five feet long,4
sci-fi,88,us captain nemo,4
sci-fi,89,nemo went towards,4
sci-fi,90,captain nemo replied,4
sci-fi,91,directed course towards,4
sci-fi,92,five clock evening,4
sci-fi,93,th january nautilus,4
sci-fi,94,yards beneath surface,4
sci-fi,95,continued captain nemo,4
sci-fi,96,captain nemo entered,4
sci-fi,97,th march nautilus,4
sci-fi,98,trail space pirates,3
sci-fi,99,hawks stood eyed,3
sci-fi,100,stood eyed two,3
