book,genre,rank,ngram,count
PrideAndPrejudice,romance,80,would give,11
PrideAndPrejudice,romance,81,elizabeth soon,11
PrideAndPrejudice,romance,82,think ill,11
PrideAndPrejudice,romance,83,friend mr,10
PrideAndPrejudice,romance,84,time mr,10
PrideAndPrejudice,romance,85,william lucas,10
PrideAndPrejudice,romance,86,young woman,10
PrideAndPrejudice,romance,87,last night,10
PrideAndPrejudice,romance,88,lizzy said,10
PrideAndPrejudice,romance,89,said darcy,10
PrideAndPrejudice,romance,90,dear sir,10
PrideAndPrejudice,romance,91,many years,10
PrideAndPrejudice,romance,92,think would,9
PrideAndPrejudice,romance,93,kitty lydia,9
PrideAndPrejudice,romance,94,charlotte lucas,9
PrideAndPrejudice,romance,95,breakfast room,9
PrideAndPrejudice,romance,96,one day,9
PrideAndPrejudice,romance,97,must know,9
PrideAndPrejudice,romance,98,thousand year,9
PrideAndPrejudice,romance,99,come back,9
PrideAndPrejudice,romance,100,hurst miss,9
OnTheTrailOfTheSpacePirates,sci-fi,1,solar guard,132
OnTheTrailOfTheSpacePirates,sci-fi,2,said strong,72
OnTheTrailOfTheSpacePirates,sci-fi,3,captain strong,64
OnTheTrailOfTheSpacePirates,sci-fi,4,sir said,58
OnTheTrailOfTheSpacePirates,sci-fi,5,three cadets,57
OnTheTrailOfTheSpacePirates,sci-fi,6,said tom,49
OnTheTrailOfTheSpacePirates,sci-fi,7,wallace simms,48
OnTheTrailOfTheSpacePirates,sci-fi,8,air lock,44
OnTheTrailOfTheSpacePirates,sci-fi,9,control deck,43
OnTheTrailOfTheSpacePirates,sci-fi,10,jet boat,39
OnTheTrailOfTheSpacePirates,sci-fi,11,roger astro,37
OnTheTrailOfTheSpacePirates,sci-fi,12,yes sir,37
OnTheTrailOfTheSpacePirates,sci-fi,13,paralo ray,36
OnTheTrailOfTheSpacePirates,sci-fi,14,power deck,34
OnTheTrailOfTheSpacePirates,sci-fi,15,space academy,31
OnTheTrailOfTheSpacePirates,sci-fi,16,radar bridge,31
OnTheTrailOfTheSpacePirates,sci-fi,17,asteroid belt,31
OnTheTrailOfTheSpacePirates,sci-fi,18,bull coxine,30
OnTheTrailOfTheSpacePirates,sci-fi,19,tom roger,26
OnTheTrailOfTheSpacePirates,sci-fi,20,sir replied,26
OnTheTrailOfTheSpacePirates,sci-fi,21,two men,25
OnTheTrailOfTheSpacePirates,sci-fi,22,commander walters,25
OnTheTrailOfTheSpacePirates,sci-fi,23,solar alliance,23
OnTheTrailOfTheSpacePirates,sci-fi,24,replied strong,23
OnTheTrailOfTheSpacePirates,sci-fi,25,sir asked,23
OnTheTrailOfTheSpacePirates,sci-fi,26,asked tom,22
OnTheTrailOfTheSpacePirates,sci-fi,27,said roger,22
OnTheTrailOfTheSpacePirates,sci-fi,28,turned back,19
OnTheTrailOfTheSpacePirates,sci-fi,29,asked strong,19
OnTheTrailOfTheSpacePirates,sci-fi,30,asked roger,18
OnTheTrailOfTheSpacePirates,sci-fi,31,astro roger,17
OnTheTrailOfTheSpacePirates,sci-fi,32,rocket cruiser,17
OnTheTrailOfTheSpacePirates,sci-fi,33,control panel,17
OnTheTrailOfTheSpacePirates,sci-fi,34,end transmission,17
OnTheTrailOfTheSpacePirates,sci-fi,35,said astro,17
OnTheTrailOfTheSpacePirates,sci-fi,36,gus wallace,17
OnTheTrailOfTheSpacePirates,sci-fi,37,ray gun,17
OnTheTrailOfTheSpacePirates,sci-fi,38,roared coxine,17
OnTheTrailOfTheSpacePirates,sci-fi,39,could see,16
OnTheTrailOfTheSpacePirates,sci-fi,40,minutes later,16
OnTheTrailOfTheSpacePirates,sci-fi,41,light key,16
OnTheTrailOfTheSpacePirates,sci-fi,42,guard officer,15
OnTheTrailOfTheSpacePirates,sci-fi,43,rocket scout,15
OnTheTrailOfTheSpacePirates,sci-fi,44,prison asteroid,15
OnTheTrailOfTheSpacePirates,sci-fi,45,young cadet,14
OnTheTrailOfTheSpacePirates,sci-fi,46,polaris unit,14
OnTheTrailOfTheSpacePirates,sci-fi,47,turned away,14
OnTheTrailOfTheSpacePirates,sci-fi,48,haired cadet,14
OnTheTrailOfTheSpacePirates,sci-fi,49,pirate captain,14
OnTheTrailOfTheSpacePirates,sci-fi,50,jet boats,14
OnTheTrailOfTheSpacePirates,sci-fi,51,space cadet,13
OnTheTrailOfTheSpacePirates,sci-fi,52,scar faced,13
OnTheTrailOfTheSpacePirates,sci-fi,53,one thing,13
OnTheTrailOfTheSpacePirates,sci-fi,54,aye sir,13
OnTheTrailOfTheSpacePirates,sci-fi,55,could hear,13
OnTheTrailOfTheSpacePirates,sci-fi,56,faced man,12
OnTheTrailOfTheSpacePirates,sci-fi,57,five minutes,12
OnTheTrailOfTheSpacePirates,sci-fi,58,strong turned,12
OnTheTrailOfTheSpacePirates,sci-fi,59,tom turned,12
OnTheTrailOfTheSpacePirates,sci-fi,60,aboard ship,12
OnTheTrailOfTheSpacePirates,sci-fi,61,aye aye,12
OnTheTrailOfTheSpacePirates,sci-fi,62,guard captain,12
OnTheTrailOfTheSpacePirates,sci-fi,63,pay roll,12
OnTheTrailOfTheSpacePirates,sci-fi,64,tom corbett,11
OnTheTrailOfTheSpacePirates,sci-fi,65,curly haired,11
OnTheTrailOfTheSpacePirates,sci-fi,66,astro said,11
OnTheTrailOfTheSpacePirates,sci-fi,67,let get,11
OnTheTrailOfTheSpacePirates,sci-fi,68,raise ship,11
OnTheTrailOfTheSpacePirates,sci-fi,69,said hawks,11
OnTheTrailOfTheSpacePirates,sci-fi,70,big cadet,11
OnTheTrailOfTheSpacePirates,sci-fi,71,adjustable light,11
OnTheTrailOfTheSpacePirates,sci-fi,72,dog star,11
OnTheTrailOfTheSpacePirates,sci-fi,73,lieutenant williams,11
OnTheTrailOfTheSpacePirates,sci-fi,74,tom saw,10
OnTheTrailOfTheSpacePirates,sci-fi,75,one side,10
OnTheTrailOfTheSpacePirates,sci-fi,76,stepped forward,10
OnTheTrailOfTheSpacePirates,sci-fi,77,replied tom,10
OnTheTrailOfTheSpacePirates,sci-fi,78,tom strong,10
OnTheTrailOfTheSpacePirates,sci-fi,79,well said,10
OnTheTrailOfTheSpacePirates,sci-fi,80,ready blast,10
OnTheTrailOfTheSpacePirates,sci-fi,81,replied roger,10
OnTheTrailOfTheSpacePirates,sci-fi,82,asked astro,10
OnTheTrailOfTheSpacePirates,sci-fi,83,said simms,10
OnTheTrailOfTheSpacePirates,sci-fi,84,said wallace,10
OnTheTrailOfTheSpacePirates,sci-fi,85,shook head,10
OnTheTrailOfTheSpacePirates,sci-fi,86,jet car,10
OnTheTrailOfTheSpacePirates,sci-fi,87,strong astro,10
OnTheTrailOfTheSpacePirates,sci-fi,88,two cadets,10
OnTheTrailOfTheSpacePirates,sci-fi,89,right away,10
OnTheTrailOfTheSpacePirates,sci-fi,90,said coxine,10
OnTheTrailOfTheSpacePirates,sci-fi,91,coxine turned,10
OnTheTrailOfTheSpacePirates,sci-fi,92,two spacemen,9
OnTheTrailOfTheSpacePirates,sci-fi,93,unit mates,9
OnTheTrailOfTheSpacePirates,sci-fi,94,space crawlers,9
