book,genre,rank,ngram,count
OnTheTrailOfTheSpacePirates,sci-fi,63,shook head,10
OnTheTrailOfTheSpacePirates,sci-fi,64,jet car,10
OnTheTrailOfTheSpacePirates,sci-fi,65,two cadets,10
OnTheTrailOfTheSpacePirates,sci-fi,66,right away,10
OnTheTrailOfTheSpacePirates,sci-fi,67,two spacemen,9
OnTheTrailOfTheSpacePirates,sci-fi,68,unit mates,9
OnTheTrailOfTheSpacePirates,sci-fi,69,space crawlers,9
OnTheTrailOfTheSpacePirates,sci-fi,70,radar scanner,9
OnTheTrailOfTheSpacePirates,sci-fi,71,atomic blasters,9
OnTheTrailOfTheSpacePirates,sci-fi,72,strong grimly,9
OnTheTrailOfTheSpacePirates,sci-fi,73,make sure,9
OnTheTrailOfTheSpacePirates,sci-fi,74,ray guns,9
OnTheTrailOfTheSpacePirates,sci-fi,75,luna city,9
OnTheTrailOfTheSpacePirates,sci-fi,76,boat deck,9
OnTheTrailOfTheSpacePirates,sci-fi,77,said williams,9
OnTheTrailOfTheSpacePirates,sci-fi,78,major savage,9
OnTheTrailOfTheSpacePirates,sci-fi,79,big man,9
OnTheTrailOfTheSpacePirates,sci-fi,80,attacking ship,9
OnTheTrailOfTheSpacePirates,sci-fi,81,long enough,8
OnTheTrailOfTheSpacePirates,sci-fi,82,well sir,8
OnTheTrailOfTheSpacePirates,sci-fi,83,fifteen minutes,8
OnTheTrailOfTheSpacePirates,sci-fi,84,loud speaker,8
OnTheTrailOfTheSpacePirates,sci-fi,85,one one,8
OnTheTrailOfTheSpacePirates,sci-fi,86,traffic control,8
OnTheTrailOfTheSpacePirates,sci-fi,87,transmission end,8
OnTheTrailOfTheSpacePirates,sci-fi,88,exposition grounds,8
OnTheTrailOfTheSpacePirates,sci-fi,89,strong cadets,8
OnTheTrailOfTheSpacePirates,sci-fi,90,luther simms,8
OnTheTrailOfTheSpacePirates,sci-fi,91,steve said,8
OnTheTrailOfTheSpacePirates,sci-fi,92,commissioner hawks,8
OnTheTrailOfTheSpacePirates,sci-fi,93,take easy,8
OnTheTrailOfTheSpacePirates,sci-fi,94,strong hawks,8
OnTheTrailOfTheSpacePirates,sci-fi,95,aboard polaris,8
OnTheTrailOfTheSpacePirates,sci-fi,96,titan pay,8
OnTheTrailOfTheSpacePirates,sci-fi,97,recognition signal,8
OnTheTrailOfTheSpacePirates,sci-fi,98,three boys,7
OnTheTrailOfTheSpacePirates,sci-fi,99,long time,7
